Source,Destination,Distance(KM),Total_Time(hr),Cost_per_KM
24,47,1114.25,27.86,3342.75
24,31,97.19,2.43,291.57
24,54,1716.03,42.9,5148.09
24,53,1729.92,43.25,5189.76
24,19,1594.11,39.85,4782.33
24,12,774.89,19.37,2324.67
24,46,1146.03,28.65,3438.09
24,45,1147.04,28.68,3441.12
24,51,1107.38,27.68,3322.14
24,6,1688.22,42.21,5064.66
24,20,1615.47,40.39,4846.41
24,56,1636.63,40.92,4909.89
24,35,1053.9,26.35,3161.7
24,48,1300.88,32.52,3902.64
24,57,1680.77,42.02,5042.31
24,58,1631.52,40.79,4894.56
24,42,779.5,19.49,2338.5
24,13,1196.16,29.9,3588.48
24,14,1196.84,29.92,3590.52
24,37,241.95,6.05,725.85
24,30,120.62,3.02,361.86
24,5,1856.19,46.4,5568.57
24,41,1125.01,28.13,3375.03
24,52,1824.78,45.62,5474.34
24,26,483.39,12.08,1450.17
24,21,1726.67,43.17,5180.01
24,28,112.89,2.82,338.67
24,36,655.73,16.39,1967.19
24,44,998.34,24.96,2995.02
24,43,1000.94,25.02,3002.82
24,10,573.37,14.33,1720.11
24,32,769.95,19.25,2309.85
24,33,765.53,19.14,2296.59
24,3,1737.7,43.44,5213.1
24,9,841.61,21.04,2524.83
24,34,1046.82,26.17,3140.46
24,59,1333.37,33.33,4000.11
24,16,1524.3,38.11,4572.9
24,29,112.02,2.8,336.06
24,8,274.07,6.85,822.21
24,40,1103.68,27.59,3311.04
24,11,537.15,13.43,1611.45
24,23,218.06,5.45,654.18
24,4,1088.44,27.21,3265.32
24,25,185.07,4.63,555.21
24,15,1483.2,37.08,4449.6
24,27,171.09,4.28,513.27
24,55,1555.62,38.89,4666.86
24,39,284.64,7.12,853.92
24,49,731.15,18.28,2193.45
24,17,1519.68,37.99,4559.04
24,38,298.37,7.46,895.11
24,0,153.66,3.84,460.98
24,1,134.37,3.36,403.11
24,22,247.7,6.19,743.1
24,2,130.01,3.25,390.03
24,18,1506.57,37.66,4519.71
24,50,686.93,17.17,2060.79
24,60,2148.11,53.7,6444.33
24,7,1941.25,48.53,5823.75
24,61,737.69,18.44,2213.07
47,24,1116.85,27.92,3350.55
47,31,1030.42,25.76,3091.26
47,54,2294.42,57.36,6883.26
47,53,2308.32,57.71,6924.96
47,19,742.75,18.57,2228.25
47,12,1137.42,28.44,3412.26
